hcp_id,hcp_name,call_date,sales_rep,status
HCP001,Dr. Rajesh Kumar,2025-11-01,Arjun Kapoor,Scheduled
HCP002,Dr. Priya Sharma,2025-11-02,Pooja Singh,Scheduled
HCP003,Dr. Amit Patel,2025-11-03,Ravi Verma,Pending
HCP004,Dr. Sneha Reddy,2025-11-04,Neha Agarwal,Scheduled
HCP005,Dr. Vikram Singh,2025-11-05,Rahul Joshi,Completed
HCP006,Dr. Ananya Iyer,2025-11-06,Simran Kaur,Scheduled
HCP007,Dr. Rohit Mehta,2025-11-07,Karthik Reddy,Pending
HCP008,Dr. Kavita Desai,2025-11-08,Anjali Menon,Scheduled
HCP009,Dr. Sanjay Gupta,2025-11-09,Vivek Sharma,Completed
HCP010,Dr. Meera Nair,2025-11-10,Deepa Krishnan,Scheduled
